MEM 354.250000 1621499134.3034 (import module)

MEM 451.785156 1621499135.2380 (complete dataset)

MEM 451.832031 1621499135.7234 (before logger)
MEM 813.593750 1621499138.6109 (after logger)

MEM 813.593750 1621499138.8494 (before input validator)
MEM 830.644531 1621499139.8533 (after input validator)

MEM 843.847656 1621499142.3723 (before dask)
MEM 1197.648438 1621499144.5576 (after dask)

MEM 1237.453125 1621499149.4868 (before lgb)
MEM 1946.789062 1621499154.3725
MEM 1947.753906 1621499159.4714
MEM 1948.191406 1621499164.4954
MEM 1948.929688 1621499169.4639
MEM 1949.371094 1621499174.4890
MEM 1949.476562 1621499179.4639
MEM 1949.992188 1621499184.4441
MEM 1950.230469 1621499189.4248
MEM 1950.230469 1621499194.4087
MEM 1226.390625 1621499199.5418
MEM 1226.390625 1621499199.6648 (before lgb)

MEM 1226.390625 1621499199.7868 (before catboost)
MEM 2262.992188 1621499204.7088
MEM 2264.027344 1621499209.5555
MEM 2264.390625 1621499214.8700
MEM 2264.531250 1621499219.6352
MEM 2264.890625 1621499224.5795
MEM 2265.273438 1621499229.5043
MEM 2265.273438 1621499234.5135
MEM 2265.781250 1621499239.5127
MEM 2265.781250 1621499244.5114
MEM 1228.101562 1621499249.9511

MEM 1228.425781 1621499250.3316
MEM 2506.660156 1621499255.9209
MEM 1228.855469 1621499256.5162

MEM 1241.699219 1621499256.7580 (extra trees)
MEM 2624.652344 1621499261.8637
MEM 1229.015625 1621499262.4542 (extra trees)

MEM 1265.589844 1621499262.8142 (svm)
MEM 1967.910156 1621499267.8390
MEM 1941.785156 1621499272.7538
MEM 2103.761719 1621499277.7716
MEM 2188.535156 1621499282.8082
MEM 2189.011719 1621499287.5197
MEM 2189.523438 1621499292.6716
MEM 2189.910156 1621499297.6095
MEM 2190.417969 1621499302.7524
MEM 2190.679688 1621499307.6514
MEM 1230.878906 1621499313.0027

MEM 1230.878906 1621499313.1265 (knn)
MEM 1292.105469 1621499313.5621
MEM 1875.566406 1621499318.5289
MEM 1904.679688 1621499323.6492
MEM 1906.144531 1621499328.4493
MEM 1907.285156 1621499333.4791
MEM 1907.933594 1621499338.3185
MEM 1909.082031 1621499343.7230
MEM 1910.085938 1621499348.3164
MEM 1910.468750 1621499353.6802
MEM 1911.609375 1621499358.9666
MEM 1232.343750 1621499363.3856 (knn)
