MEM 354.140625 1621500146.5755 (import module)

MEM 459.066406 1621500147.6408 (complete dataset)

MEM 459.078125 1621500147.8933 (before logger)
MEM 821.332031 1621500150.5864 (after logger)

MEM 821.343750 1621500150.9583 (before input validator)
MEM 822.316406 1621500155.5798 (after input validator)

MEM 1064.179688 1621500162.3439 (before dask)
MEM 1417.855469 1621500164.6429 (after dask)

MEM 1420.187500 1621500169.1230 (before lgb)
MEM 2461.484375 1621500174.4538
MEM 2462.074219 1621500179.5929
MEM 2463.113281 1621500184.6964
MEM 2464.144531 1621500189.6045
MEM 2465.601562 1621500194.6086
MEM 2466.886719 1621500199.5983
MEM 2468.019531 1621500204.4973
MEM 2469.515625 1621500209.6055
MEM 2470.546875 1621500214.5920
MEM 1422.468750 1621500219.2544 (after lgb)

MEM 1422.468750 1621500219.3640 (before catboost)
MEM 2633.542969 1621500224.3274
MEM 2634.085938 1621500229.4062
MEM 2634.226562 1621500234.4837
MEM 2634.664062 1621500239.4562
MEM 2635.035156 1621500244.5301
MEM 2635.804688 1621500249.5514
MEM 2635.804688 1621500254.5293
MEM 2636.062500 1621500259.4687
MEM 2636.285156 1621500264.8963
MEM 1424.777344 1621500269.7942 (after catboost)

MEM 1424.789062 1621500270.2577 (before rf)
MEM 2686.179688 1621500275.5122
MEM 2826.199219 1621500280.5868
MEM 2954.425781 1621500285.6652
MEM 3043.621094 1621500290.5963
MEM 1425.875000 1621500294.3509 (rf)

MEM 1532.316406 1621500294.7102
MEM 2684.027344 1621500299.4273
MEM 3011.136719 1621500302.1248
MEM 1426.640625 1621500302.9738

MEM 1426.726562 1621500303.4400 (svm)
MEM 2620.804688 1621500308.3645
MEM 2719.515625 1621500313.6213
MEM 2791.433594 1621500318.7764
MEM 2791.820312 1621500323.7144
MEM 2792.207031 1621500328.5664
MEM 2792.664062 1621500333.5094
MEM 2793.050781 1621500338.5604
MEM 2793.582031 1621500343.6025
MEM 2794.164062 1621500348.4485
MEM 2794.421875 1621500353.4048 (svm)

MEM 1439.996094 1621500353.9765 (knn)
MEM 2594.777344 1621500357.0759
MEM 1428.601562 1621500357.6253 (knn)
