MEM 402.753906 1621498849.1514 (import module)

MEM 402.890625 1621498849.5231 (before logger)
MEM 764.933594 1621498853.3285 (after logger)

MEM 764.941406 1621498853.6941 (before input validator)
MEM 765.460938 1621498854.0494 (after input validator)

MEM 768.031250 1621498855.3733 (before dask)
MEM 1121.390625 1621498857.4647 (after dask)



MEM 1123.332031 1621498861.1566 (before lgb)
MEM 1565.175781 1621498866.1706
MEM 1565.824219 1621498871.6009
MEM 1559.863281 1621498876.6490
MEM 1559.933594 1621498881.6987
MEM 1125.703125 1621498884.6074 (after lgb)

MEM 1126.136719 1621498884.9766 (catboost)
MEM 1569.511719 1621498889.9118
MEM 1570.214844 1621498894.9340
MEM 1552.027344 1621498899.9312
MEM 1126.382812 1621498901.0164 (cat boost)

MEM 1126.562500 1621498901.3910 (rf)
MEM 1608.566406 1621498906.5006
MEM 1669.152344 1621498911.6396
MEM 1729.058594 1621498916.6467
MEM 1789.921875 1621498921.7243
MEM 1849.734375 1621498926.6828
MEM 1899.796875 1621498931.7142
MEM 1883.703125 1621498936.6527
MEM 1883.726562 1621498941.6432
MEM 1128.542969 1621498946.8127 (rf)

MEM 1137.324219 1621498946.9208 (extra trees)
MEM 1872.695312 1621498951.9724
MEM 2339.523438 1621498956.9849
MEM 2501.464844 1621498961.8578
MEM 2480.546875 1621498966.8971
MEM 2480.566406 1621498971.6879
MEM 1130.207031 1621498977.0758 (extra trees)

MEM 1130.207031 1621498977.3185 (svm)
MEM 1642.808594 1621498982.8323
MEM 1759.929688 1621498987.8287
MEM 1765.339844 1621498992.7112
MEM 1765.339844 1621498997.7053
MEM 1765.472656 1621499002.8084
MEM 1765.710938 1621499007.8009
MEM 1765.781250 1621499012.9006
MEM 1765.781250 1621499017.8961
MEM 1765.781250 1621499022.8866
MEM 1766.304688 1621499027.4494 (svm)

MEM 1131.835938 1621499027.8100 (knn)
MEM 1132.109375 1621499030.2775 (knn)
